2001,2020-04-03,?,4,1,32,34,36,38
2002,2020-04-04,?,4,25,28,31,37,39
2003,2020-04-05,?,4,22,27,28,38,43
2004,2020-04-06,?,2,22,24,30,35,38
2005,2020-04-07,?,3,13,22,23,24,37
2006,2020-04-08,?,4,5,7,29,35,42
2007,2020-04-09,?,3,1,8,10,12,36
2008,2020-04-10,?,4,5,8,16,25,45
2009,2020-04-11,?,2,1,14,18,27,30
2010,2020-04-12,?,1,14,17,20,36,37
2011,2020-04-13,?,4,1,12,24,26,42
2012,2020-04-14,?,1,5,25,33,34,43
2013,2020-04-15,?,4,13,16,20,23,33
2014,2020-04-16,?,1,4,7,26,27,32
2015,2020-04-17,?,1,8,15,26,37,43
2016,2020-04-18,?,4,1,11,26,36,37
2017,2020-04-19,?,3,10,19,29,33,36
2018,2020-04-20,?,3,4,5,9,37,38
2019,2020-04-21,?,4,14,17,25,27,34
2020,2020-04-22,?,2,2,4,20,22,36
2021,2020-04-23,?,1,5,18,22,38,39
2022,2020-04-24,?,2,14,15,18,33,40
2023,2020-04-25,?,4,4,6,8,23,34
2024,2020-04-26,?,3,4,6,13,18,26
2025,2020-04-27,?,1,14,18,23,30,37
2026,2020-04-28,?,4,7,12,18,39,45
2027,2020-04-29,?,1,18,21,25,27,39
2028,2020-04-30,?,1,4,9,28,29,40
2029,2020-05-01,?,2,2,10,23,27,43
2030,2020-05-02,?,2,4,8,15,25,37
2031,2020-05-03,?,1,4,13,16,19,45
2032,2020-05-04,?,1,2,11,20,28,30
2033,2020-05-05,?,3,24,25,31,43,44
2034,2020-05-06,?,2,10,24,26,27,42
2035,2020-05-07,?,2,4,7,10,26,43
2036,2020-05-08,?,3,1,14,15,32,45
2037,2020-05-09,?,3,1,2,26,40,44
2038,2020-05-10,?,4,1,2,4,10,40
2039,2020-05-11,?,4,12,27,33,34,41
2040,2020-05-12,?,2,9,12,15,25,26
2041,2020-05-13,?,1,11,13,16,24,40
2042,2020-05-14,?,1,2,5,18,29,39
2043,2020-05-15,?,1,9,10,20,34,45
2044,2020-05-16,?,4,33,36,39,42,43
2045,2020-05-17,?,2,24,25,26,29,35
2046,2020-05-18,?,4,4,24,35,37,43
2047,2020-05-19,?,1,2,13,29,33,38
2048,2020-05-20,?,4,12,18,39,40,41
2049,2020-05-21,?,3,8,12,34,42,43
2050,2020-05-22,?,1,6,12,40,42,43
2051,2020-05-23,?,3,1,18,19,35,39
2052,2020-05-24,?,4,9,13,16,18,36
