7001,10.06.20,c,2,1,10,11,12,13,14,15,27,30,36,38,48,52,59,60,62,74,76,77,78
7002,11.06.20,c,1,1,3,4,7,11,13,18,20,23,29,32,36,43,46,48,53,54,55,73,75
7003,12.06.20,c,1,4,5,6,14,16,18,22,23,25,27,39,50,57,62,68,69,75,77,79,80
7004,13.06.20,c,2,6,7,8,10,11,12,17,21,26,34,38,41,46,51,63,66,67,68,72,80
7005,14.06.20,c,4,6,11,21,23,25,27,33,34,35,45,46,47,51,60,61,64,72,76,78,80
7006,15.06.20,c,1,3,10,12,13,19,21,22,29,30,31,33,34,39,41,45,56,70,72,75,79
7007,16.06.20,c,3,2,5,6,19,22,24,26,30,36,38,46,48,49,53,63,66,67,70,71,74
7008,17.06.20,c,2,6,10,22,25,26,30,31,35,41,42,43,52,53,54,56,61,66,68,77,80
7009,18.06.20,c,2,2,3,5,9,12,15,18,19,25,28,31,36,44,46,47,50,54,60,72,76
7010,19.06.20,c,2,7,12,14,15,27,31,32,35,43,47,48,50,51,53,56,57,68,72,74,78
7011,20.06.20,c,2,1,4,8,16,19,24,25,26,29,32,41,44,53,54,55,57,64,65,66,70
7012,21.06.20,c,2,59,3,9,49,27,69,55,70,13,2,71,75,47,16,4,34,54,22,38,24
7013,22.06.20,c,4,64,56,55,25,59,72,16,27,63,41,46,76,45,32,65,21,19,53,12,30
7014,23.06.20,c,1,27,66,23,56,58,10,3,61,8,70,14,76,71,48,72,6,18,54,59,37
7015,24.06.20,c,1,72,26,6,65,12,78,75,39,3,14,46,28,60,4,18,38,19,71,63,25
7016,25.06.20,c,2,72,62,80,79,37,45,73,29,12,69,55,63,33,22,61,15,20,25,34,7
7017,26.06.20,c,4,16,30,4,50,49,18,6,38,21,55,68,56,71,51,37,74,52,19,34,27
7018,27.06.20,c,2,65,55,30,19,10,72,26,3,79,48,34,32,54,22,12,61,46,2,45,43
7019,28.06.20,c,2,69,37,48,51,62,36,24,29,38,6,30,79,65,49,10,26,39,21,71,53
